source,english_sentence,hindi_sentence
indic2012,There are fifteen thousand verses in the “”Agnipuran“”.,अग्निपुराण में श्लोकों की संख्या पन्द्रह हजार हैं।
tides,His religious poetry of this period which culminated in the passionate sincerity and utter simplicity of Gitanjali and Gitimalya was wrung out of his heart 's blood .,इस काल में लिखित उनकी धार्मिक कविताएं जो ? गीतांजलि ? और ? गीतिमाल्य ? में प्रकाशित हुईं- आवेगपूर्ण समर्पण और बेहद सादगी से भरी थीं.इनमें जैसे उनके हृदय का रक्त ही निचुड़कर अपनी पराकाष्ठा पर पहुंच गया
indic2012,"It is difficult to predict anything on the basis of the quantity of water vapour, because blank spaces in the measurement of the water vapour are very less as compared to the clouds.",जलवायु के प्रतिमानों पर इन विवरणों को प्रदर्शित करना कठिन होता है क्योंकि जलवायु प्रतिमानों के संगणक खानों पर रिक्त स्थानों के बिंदुओं के बीच की तुलना में बादल बहुत छोटे होते हैं।
ted,In 50 years they've gone from a pre-Medieval situation,पचास सालों में वो पुरातन स्थितियों से आगे आ कर
indic2012,Indian meals are also very popular in foreign countries.,भारतीय व्यंजन विदेशों में भी बहुत पसन्द किए जाते है।
tides,Their food habits are simple and change from region to region .,इनका खानपान सादा तथा क्षेत्री आवश्यकता के अनुरूप होता है .
tides,"Moreover the concepts of the four stages of life , and those of karma and sansar have not only become important parts of the religious faith of the Hindus but have pervaded all Indian poetry and literature .","फिर भी जीवन की चार अवस्थाओं के सिद्धांत केवल हिंदुZओं के धार्मिक विश्वास में महत्वपूर्ण अंग ही नहीं बन गये हैं , बल्कि सभी भारतीय काव्य और साह्Lत्य में उनका समावेश हो गया है ."
indic2012,"The water is used even in the preparation of a sweet, Panchamrut.",पंचामृत में भी गंगाजल को एक अमृत माना गया है।
ted,and wait for the weekend.,और सप्ताहांत के लिए प्रतीक्षा करते है
indic2012,In this way entire Mahabharata was written in the interlude of 3 years.,इस प्रकार सम्पूर्ण महाभारत ३ वर्षों के अन्तराल में लिखी गयी।
tides,"The Akhan Chandi Palace , the Laxmi Narayan temple , the living rooms of old houses in Durga Mangnu , are all brilliant examples of this art .","अखन-चंडी महल , लक्ष्मीनारायण मंदिर दूर्गा मांगणू के निजी घरों की बैठकों से इस प्रकार की चित्रकला के अदभूत नमूने मिलते है ."
ted,"he got one and a half million dollars, and he went back and said,","उन्हें डेढ़ मिलियन डॉलर मिले , वो वापस गए और बोले ,"
tides,In a self-interview-she asks questions and answers them herself-she has given the true picture of the pre-dawn crackdown on K . Karunanidhi and other DMK leaders .,एक स्व-साक्षात्कार-वे खुद सवाल करके जवाब भी खुद ही देती हैं-में उन्होंने करुणानिधि और द्रमुक के दूसरै नेताओं पर आधी रात को बोले गए हमले की सही तस्वीर पेश की है .
ted,This doesn't mean,इसका मतलब यह नहीं
ted,"[Our parents, grandparents, our aunts, uncles ...]","[हमारे माता-पिता, अंकल-आंटी, दादा-दादी...]"
tides,It is expected that this perquisite will now be evaluated on a single basis .,संभावना है कि इस परिलइध का अब एकल आधार पर आकलन किया जाएगा .
tides,"This information is put together to create a botanical catalogue , or Flora , of Mesoamerica .",इस सूचना को एकत्रित करके एक वनस्पति सूची बनाई जाती है जिसे मेसोअमेरिका की फ्लोरा कहा जाता है .
tides,Much of the ground work for the project is done .,इसके लिए काफी कुछ जमीनी तैयारी कर ली गई है .
tides,” It was difficult .,बड़ी मुश्किल थी .
ted,a lot falls by the wayside.,बहुत से समाचार पीछे रह जाते हैं |
tides,"Even elementary civil rights , the freedoms of thought , speech and association were increasingly violated and restricted .","यहां तक कि अभिव्यक्ति और विचार की आधारभूत स्वतंत्रता और संगठन बनाने के अधिकार का तेजी से हनन किया जाने लगा , उसे सीमित किया जाने लगा ."
tides,Of the 15 samples tested at Mumbai 12 -LRB- 80 per cent -RRB- were adulterated ; the figure was 86 per cent for Delhi .,मुंबई में जो 15 नमूने जांचे गए उनमें से 12 यानी 80 प्रतिशत मिलवटी पाए गए.दिल्ली में मिलवट का यह आंकड़ 86 प्रतिशत निकल .
ted,"Profits made, prophets ignored.","स्थापित पयगंबर, उपेक्षित पयगंबर."
tides,It is in this group of cases that the court has exhibited its competence of being a social auditor .,इसी कोटि के मामलों में न्यायालय ने सामाजिक हित संपरीक्षक के रूप में अपनी क्षमता प्रदर्शित की है .
tides,The British ruling authorities never forgave what they deemed an unheard-of impertinence .,ब्रिटिश शासन अधिकारी इस बात को कभी माफ नहीं कर पाए क्योंकि उन्होंने ऐसी असंबद्धता के बारे में कभी सुना या सोचा तक नहीं था .
ted,"When I rescued them, one of the biggest challenges I had","जब मैंने उन्हें बचाया, एक सबसे बड़ी चुनौती जो मेरे सामने थी"
indic2012,Special Powers of the Rajya Sabha,राज्यसभा की विशेष शक्तियाँ
tides,"As a judge , his eyes would be saved of much strain , and this consideration probably made him take the decision to accept .",जज बनने पर उनकी दृष्टि पर अधिक बोझ पड़ता और इसी कारण से उन्होनें पद स्वीकार करने का निर्णय लिया .
tides,"The situation , however , had changed radically by the time the ' home government ' took over the direct administration of this country after 1857 .",सन् 1857 के बाद इस देश की सत्ता जब सीधे होम गवर्नमेंट के हाथ में आ गयी तब स्थिति में परिवर्तन आ गया था .
tides,Kathiroli recounts the many times their vessel was grounded as the depth of the sea suddenly decreased by more than 10 m .,कटिरोली याद करते हैं कि कऋ बार तो समुद्र की सतह अचानक 10 मी . तक नीचे खिसक जाने से पोत जमीन पर आ लगता था .
indic2012,Kabir with his way of teachings managed to gain a lot of muslims and Hindus as his followers.,कबीर ने अपने पंथ को इस ढंग से सुनियोजित किया जिससे मुस्लिम मत की ओर झुकी हुई जनता सहज ही इनकी अनुयायी हो गयी।
indic2012,(It can be used to type in Hindi in any text box while using the internet),(इनके प्रयोग से इन्टरनेट उपयोग करते समय किसी भी टेक्स्ट बक्से में हिन्दी लिख सकते हैं)
ted,"If you have a kid who's behind,","यदि कोई बच्चा है जो कमज़ोर है,"
ted,We're starting to see these happening all around the world.,हम देख रहे है कि सारे संसार में सुखद बदलाव आ रहे हैं।
tides,"Sorry , it 's a misplaced worry .",यह वाजिब चिंता नहीं है .
indic2012,Georgia,जार्जिया
indic2012,"This the demand of democracy where parliament is direct elected by people use special power,according to the democracy principle ministry is also responsible for parliament but this two cause is not minus the importance of senate.",यह जनतंत्र की मांग है कि जहाँ लोकसभा सीधे जनता द्वारा चुनी जाती है विशेष शक्तियॉ का उपभोग करती है लोकतंत्र के सिद्धांत के अनुरूप मंत्रिपरिषद भी लोकसभा के प्रति उत्तरदायी होने के लिये बाध्य करते है किंतु ये दो कारण किसी भी प्रकार से राज्यसभा का मह्त्व कम नही करते है
tides,"The crops introduced there soon attracted the attention of native American insects , which spread and became ' pests ' rapidly .",वहां जो फसलें प्रवेशित की गईं उन्होंने फौरन स्थानीय अमरीकी कीटों का ध्यान अपनी ओर आकर्षित किया .
ted,It makes our recognition of our equal humanity difficult.,यह हमारी इन्सानों में समानता की पहचान को कठिन बना देती है.
tides,"Similarly , shortage of transport vehicles , cases of kidnapping , dacoity , explosions , communal tensions have been held not to be appropriate matters for such motion .","इसी प्रकार परिवहन मोटर गाड़ियों की कमी , अपहरण के मामले , डकैती , विस्फोट , सांप्रदायिक तनाव भी ऐसे प्रस्ताव के लिए उचित विषय नहीं माने गए हैं ."
tides,Cardiovascular System Diseases of the heart account for over 50 per cent of deaths after the age of sixty-five .,हृदयवाहिका तंत्र पैंसठ वर्ष की आयु के बाद 50 प्रतिशत लोगों की मृत्यु हृदय रोगों के कारण होती
tides,COLIN POWELL Secretary of State Objective : Wants to be the nice guy in Washington-moderate and even sympathetic toward the political requirements of Pakistan .,"कॉलिन पॉवेल विदेश मंत्री लक्ष्यः ऐसा समज्ह्दार व्यैकंत दिखना चाहते हैं , जो उदार और पाकिस्तान की राजनैतिक जरूरतों के प्रति हमदर्द है ."
indic2012,Sikhandhara (mausoleum of Akbar),सिकंदरा (अकबर का मकबरा)
tides,"Interestingly , the latter took the form of working lesser days in a week , rather than lesser hours a day , and of sealing off an agreed percentage of looms .","विशेष रूचि की बात यह थी , कि इन समझौतों में एक दिन काम करने की सुविधा तथा करघों को एक निश्चित प्रतिशत से बंद करने की स्वीकृति दे दी ."
ted,or even a mafia hit -,या फिर माफिया की टक्कर भी -
tides,He campaigned against un-touchability .,उन्होंने असऋ-ऊण्श्छ्ष्-पृशऋ-ऊण्श्छ्ष्-यर्तानिवारण का अभियान छेडऋआ .
tides,Other countries were experimenting with jute cultivation ^ and development of substitutes .,अनऋ-ऊण्श्छ्ष्-य देशों में भी जूट की खेती और उसके विकलऋ-ऊण्श्छ्ष्-पों के विकास के प्रयोग चल रहे थे .
indic2012,Thus his team decided to target such policies.,एसी नीतियों के पारित होने को निशाना बनाना उनके दल का निर्णय था ।
ted,and then I started progressing to other things.,और फिर मैंने प्रगति करना शुरू कर दिया।
tides,"Though they cannot act as a substitute for the law courts , yet , if thoughtfully constituted and run , they can become a welcome additional arm for the existing judicial system .","ये न्यायालयों के स्थानापन्न के रूप में कार्य नहीं कर सकतीं , परंतु यदि इनका गठन और संचालन ध्यान से किया जाए तो ये वर्तमान न्यायतंत्र की एक स्वागत-योग़्य अतिरिक़्त अंग सिद्ध हो सकती हैं ."
indic2012,Grade:United state of america,श्रेणी:संयुक्त राज्य अमेरिका
ted,"And I reflected, as I was watching her sell the dresses,","और मैं सोच रही थी, जैसे मैं जेन को कपडे"
ted,any more than you know what I'm seeing,जैसे आप को नहीं पता मैं क्या देख रहा हूँ
tides,"While natural insulin has proved to be both more economical and more effective , research by Dr Arthur Teuscher of Switzerland 's Berne University has shown that it is easier to detect signs of hypoglycemia -LRB- sharp fall in blood sugar levels -RRB- when taking natural insulin than in the case of synthetic insulin .",एक ओर जहां प्राकृतिक इंसुलिन ज्यादा सस्ता और प्रभावी साबित हा है वहीं स्विट्जरलौंड़ के बर्न यूनिवर्सिटी के ड़ॉ.आर्थर ट्युशर के अनुसंधान से पता चल है कि संश्लेषित के बजाए प्राकृतिक इंसुलिन लेने से हाइपोग्लीसीमिया ( रक्त शर्करा की मात्रा में तेजी से गिरावट ) का पता लगाना आसान होता है .
tides,"While some are undoubtedly Pallava , painted over the plaster ground laid over the coarse sandstone surface , which expedient was found necessary -LRB- as at Ajanta -RRB- to smoothen and protect the stone surface even at the outset , there are undeniable evidences of the renewal of the plaster and the paintings over them in subsequent periods .","जबकि कुछ चित्र निस्संदेह रूप से पल्लव हैं , जो बालुकाश्म की खुरदरी सतह पर किए गए पलस्तर पर चित्रित किए गए थे और जो उस आरंभिक काल में भी पथरीली सतह को चिकना बनाने और सुरक्षा के लिए उचित और आवश्यक ( जैसा कि अंजता में ) पाया गया था , फिर भी अनुवर्ती काल में पलस्तर और चित्रों के नवीनकरण के निस्संदिग़्ध साक्ष्य विद्यमान हैं ."
tides,"Second , they possess alleles in both sexes instead of only in the female .","दूसरा फर्क है , युग़्मविकल्पी जीन दोनों लिंग के व्यक़्तियों में होते हैं , केवल स्त्री में नहीं होते ."
ted,Okay. Great.,ठीक है।
indic2012,His elder brother Ajit Tendulkar encouraged him to play.,उनके बड़े भाई अजीत तेंडुलकर ने उन्हें खेलने के लिये प्रोत्साहित किया था।
ted,"And then when I did my book, Thinking In Pictures,",और फ़िर जब मैने अपनी किताब “थिंकिंग इन पिक्चर्स” लिखी
indic2012,It is capable of producing light within and outside the house for 3 to 4 hours per day.,यह घर के अन्दर व घर के बाहर प्रतिदिन ३ से ४ घंटे तक प्रकाश दे सकने में सक्षम है।
tides,"2.5 The police investigation was efficient and effective in tracing and arresting suspects , and gathering evidence ; but it failed to pursue the question whether the crime was racially aggravated .","2.5संदिग्ध व्यक्तियों का पता लगाने और उन्हें गिरफ़्तार करने , तथा सबूत जुटाने में पुलिस की जाँच कुशल और प्रभावी थी , लेकिन यह इस सवाल का जवाब पाने में असफल रही कि अपराध नस्लभेद से प्रेरित था |भाष्;"
ted,its own customized version of mythology.,अपनी समझ के अनुरूप पौराणिक गाथाओं के रूप में ।
ted,And if we have another eight billion,और अगर हमारे पास आठ अरब अतिरिक्त
indic2012,"This metropolis is formed be combination of Mumbai city, Mumbai suburban districts, Navi Mumbai (New Mumbai) and Thane.",यह महानगर मुंबई शहर मुंबई उपनगर जिलों एवं नवी मुंबई तथा ठाणे शहरों को मिलाकर बनता है।
tides,"At his palatial bungalow in Rakhra village near Patiala , Darshan Singh Dhaliwal basks in the glory he has earned in the US .",रमेश विनायक पटियाल के निकट राखड़ गांव में दर्शन सिंह धालीवाल की भव्य को ई अमेरिका में कमाई समृद्धि से सराबोर है .
ted,That's why a very common feeling when you're in a museum -,इसीलिये जब भी हम सन्ग्रहालय मे होते है तो हमे ऐसा लगता है -
tides,"It is The tree of I ' rtiyaga peculiar to this kind of tree that its branches send forth two species of twigs , some directed upward , as is the case with all other trees , and others directed downward like roots , but without leaves .","इस वृक्ष की यह विशेषता है कि इसकी शाखाओं से दो प्रकार की टहनियां निकलती हैं , कुछ ऊपर की ओर उठी रहती हैं-जो अन्य वृक्षों में होता है-और कुछ नीचे की ओर जड़ों की तरफ चली जाती हैं लेकिन उनमें पते नहीं होते ."
indic2012,"according to pakistan government,at this time only the foundation stone of pakistan was layed.",पाकिस्तानी सरकार के अनुसार इसी समय पाकिस्तान की नींव डाली गई थी ।
indic2012,"Many translations of Mahabharata are found in South Asia- Different versions of Mahabharata are found in Indonesia, Sri Lanka, Java island, Jakarta, Thailand, Tibet, Burma (Myanmar).",महाभारत के दक्षिण एशिया मे कई रूपान्तर मिलते हैं इण्डोनेशिया श्रीलंका जावा द्वीप जकार्ता थाइलैंड तिब्बत बर्मा (म्यान्मार) में महाभारत के भिन्न-भिन्न रूपान्तर मिलते हैं।
ted,that are found within the Indus Valley.,जो सिंधु घाटी में पाए गऐ हैं।
tides,"Further , the sacrifices differ in duration , so that only he could perform certain of them who lives a very long life ; and such long lives do no longer occur in this our age .",इन यज्ञों की अवधि भी भिन्न-भिन्न होती है जिससे केवल वही कुछ यज्ञों को कर सकता है जो दीर्घायु होता है और ऐसी लंबी आयु हमारे इस युग में होती नहीं है .
indic2012,Spirituality ramayana is known as first ramayana in the world,अध्यात्म रामायण को ही विश्व का सर्वप्रथम रामायण माना जाता है।
indic2012,Collections of Bachan best poems,बच्चन के श्रेष्ठ कविताओं का संकलन
tides,"This part called malasthana and padma bandha marks the top end of the shaft and the beginning of the capital which consists of moulded parts , a pitcher , lasuna or kalasa , placed over the padma bandha , a saucer-shaped part called tadi , a flattened , bulbous or cushion-shaped member over it called the kumbha carrying an inverted platter-shaped part , and a doucine moulding , called the pali -LRB- or padma when it is shaped to simulate an inverted lotus blossom with petals -RRB- which really forms the underside of a plank-like abacusthe phalaka .","यह भाग ' मारमास्थान ' कहलाता है और स्तंभ का शिरोभाग ' पद्मबंध ' और शीर्षाभ के आरंभ का संकेत करता है , जिसमें ढले हुए भाग होते हैं , यथा पद्मबंध के ऊपर एक घट , लसुन या कलश , एक तश्तरी के आकार का भाग जिसे ताड़ी कहा जाता है , उसके ऊपर चपटे कंद के आकार का एक कुभं होता है जिस पर ' उल्टी कठौती ' का आकार बना होता है और एक पाली ( या पद्म जब उसका आकार पंखुरियों सहित विलोम कमल के प्रस्फूटन के समान हो ) जो वास्तव में एक तख़्ते के समान शीर्ष-फलक का भीतरी भाग बनता है ."
indic2012,She had close friendship with Subhadra Kumari Chowhan in the college.,कालेज में सुभद्रा कुमारी चौहान के साथ उनकी घनिष्ठ मित्रता हो गई।
ted,a nice round shape.,एक सुंदर गोल सा आकार.
indic2012,At the time of Shah Alum second whole royal palace was used to gate decorated with lamps and both Hindus-Muslims were used to participate in programs organized in Red fort.,शाह आलम द्वितीय के समय में समूचे शाही महल को दीपों से सजाया जाता था एवं लालकिले में आयोजित कार्यक्रमों में हिन्दू-मुसलमान दोनों भाग लेते थे।
tides,"If it is intended to establish a poultry farm for the production of table eggs , it should be stocked with chickens possessing high laying qualities .",यदि खाने के काम आने वाले अण्डों के उत्पादन के लिए मुर्गीपालन केन्द्र खोले जाने का विचार हो तो इसमें चूजे रखे जाने चाहिएं जिनमें अधिक अण्डे देने का गुण हो .
tides,RAMALINGA ' S YEARS IN MADRAS WERE MARKED BY GREAT literary activity .,मद्रास में रामलिंग का जीवन साहित्यिक गतिविधियों का रहा .
indic2012,Here the delta is more famous for rice cultivation.,यह डेल्टा चावल की कृषि के लिए अधिक विख्यात है।
tides,The Income-Tax Department comes under the Finance Ministry which is supposed to be leading the movement for economic reform ; so why is it unable to prevent its officials from behaving with the arrogance they displayed when the state was in control of the “ commanding heights ” ?,"आयकर विभाग वित्त मंत्रालय के मातहत है , जिसके बारे में माना जाता है कि वह आर्थिक सुधार आंदोलन का अगुआ है.ऐसे में वह अपने अधिकारियों की हेकड़ीबाजी रोकने में असमर्थ क्यों है ?"
indic2012,United States of America is a federal republic situated on the north American continent.,संयुक्त राज्य अमेरिका उत्तर अमेरिकी महाद्वीप पर स्थित एक संघीय गणतंत्र है।
ted,And you're terrified about the humiliation,और आप अपमान के बारे में डर रहे हैं
ted,and then every patient gets their teleconsultation with a doctor.,इस तरह हर रोगी को नेत्र-विशेषज्ञ से सीधे जोडा जा सका।
indic2012,"'Maya' is the maid of God, but lord of the Humans",माया ईश्वर की दासी है परन्तु हम जीवों की स्वामिनी है।
indic2012,Division of Mahabharata in 18 parts and 100 subparts.,महाभारत का १८ पर्वो और १०० उपपर्वो में विभाग
indic2012,Although royal historians put it in this way that Akbar was against sati practice and gave shelter to those helpless women.,हालांकि इस प्रकरण को दरबारी इतिहासकारों ने कुछ इस ढंग से कहा है कि इस प्रकार बादशाह सलामत ने सती प्रथा का विरोध किया व उन अबला स्त्रियों को संरक्षण दिया।
tides,"And even if there is no eclipse at such a time , it is considered quite as propitious as the time of an eclipse itself .",और यदि ऐसे समय में ग्रहण न भी हो तो भी उसे बहुत शुभ माना जाता है .
ted,"She believes, “Yes, this is it, this is what my destiny is about.”","वो मानती है “हाँ, अब यही है, यही मेरा भाग्य है.”"
tides,She blushed with shame .,भिखारिन शर्म से गड़ जातीहै .
indic2012,Series:- Honured by Nobel Price,श्रेणी:नोबेल पुरस्कार सम्मानित
tides,Acid rain is thus created by industrial activities that pollute the air .,इस तरह यह साबित हो जाता है कि अम्लीय वर्षा उन औद्योगिक गतिविधियों से होती है जो वायु को प्रदूषित करती हैं .
indic2012,Article 262 give authority to Parliament that to pass laws like State Water Dispute Act or to make an authorized body of Water Board for resolving arguments between two states of the country.,अनु 262 संसद को अधिकार देता है कि वह अंतराज्य जल विवाद को सुलझाने हेतु विधि का निर्माण करे संसद ने अंतराज्य जल विवाद तथा बोर्ड एक्ट पारित किये थे
indic2012,"Subhash Chandra bose, who was the most determined and resoureceful Indian enemy, marched.",सुभाषचंद्र बोस जो उनके सबसे अधिक दृढ़ संकल्प और संसाधन वाले भारतीय शत्रु थे ने कूच कर दिया था।
ted,Why can I not remove this confine,क्यों न मैं इस कैद को हटा दूँ
tides,"For early detection of the actual disease , angiography is considered the “ golden standard . ”",वास्तविक बीमारी का समय रहते ही पता लगाने के लिए एंजियोग्राफी को ' स्वर्ण मानक ' माना जाता है .
tides,The very idea of nationhood had completely disappeared .,राष्ट्रीयता का विचार ही पूरी तरह गायब हो गया था .
tides,There is often a small cistern or pit cut into the floor of the sanctum below the projected channel- spout on the top of the linga-pitha or image pedestal to receive and collect the abhisheka water .,"गर्भगृह के फर्श में , लिंग पीठ के ऊपर की प्रक्षिप्त नाली के मुंह के नीचे प्राय : एक कुंड है जिसमें अभिषेक का जल बहकर आता और इकट्ठा होता है ."
tides,Her renunciation of him releases Sachish not only from her spell but from his obsession with a religious pursuit that was little better than an escape .,उसका आत्मोत्सर्ग सचीश को न केवल उसके मोहजाल से बल्कि उस धार्मिक आश्रय के सम्मोहन से भी मुक्त करताहै- जिसे किसीपलायन से थोड़ा ही बेहतर कहा जा सकता है .
ted,"If you have democracy,","अगर लोकतंत्र है,"
tides,Goat 's milk is highly wholesome and nourishing .,बकरी का दूध अत्यन्त स्वास्थ्यप्रद और पौष्टिक होता है .
indic2012,history,इतिहास
tides,"If they want such a face , they have not come to me .",यदि उन्हें जंरी चेहरा चाहिए तो वो अभी तक तो मेरे पास नहीं आए हैं .
ted,"And you need a strong government to do that,","और इसके लिये आपको एक ताकतवर सरकार की ज़रूरत है,"
tides,"Normally once issues are conclusively settled at a parliamentary standing committee , it is not changed .",किसी स्थायी संसदीय समिति में एक मुद्दे पर कोई राय बन जाने के बाद आम तौर पर उसे बदल नहीं जाता .
tides,"Pack some supplies in the handbag or hand luggage , in case one gets separated from suitcase .",इन दवाइयों की कुछ मात्रा हाथ में ले जाये जाने वाले सामान में अलग से रखें ताकि सूटकेस साथ न होने पर भी कोई असुविधा न हो .
ted,"in that world, media is less and less often","उस दुनिया में, मीडिया कम से कम"
tides,"When Banita looked at the older woman , she could not help but remember with bitterness that dark day in July 1985 when Phanas-despairing of an extra mouth to feed in poverty-stricken Kalahandi-had sold her to the half-blind , penurious Bidyadhar for Rs 40 , just enough for her to buy 3 kg of rice and a sari .",उस बूढी औरत को देखते ही बनिता को जुलई 1985 का वह काल दिन तल्खी से याद हो आया जब गरीबी के मारे कालहांड़ी जिले में फनस ने घर की अतिरिक्त सदस्य का पेट भरने की घोर हताशा में उसे निपट दरिद्र व आधे दृष्टिहीन बिद्याधर के हाथों 40 रु.में बेच दिया था.यह राशि मात्र 3 किल चावल खरीदने भर को ही काफी थी .
ted,How they maintain them?,वे इसे कैसे बनाए रखते हैं?
